,amenities
2392,"{tv,""cable tv"",wifi,""air conditioning"",pool,kitchen,""free parking on premises"",""hot tub"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,iron,""hot water"",""bed linens"",""extra pillows and blankets""}"
2393,"{tv,wifi,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""fire extinguisher"",essentials,""lock on bedroom door"",hangers,iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""dishes and silverware"",""cooking basics"",other}"
2394,"{tv,wifi,""free street parking"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""hair dryer"",""hot water""}"
2395,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private living room"",""private entrance"",bathtub,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""long term stays allowed""}"
2396,"{wifi,""smoke alarm"",""first aid kit"",""safety card"",essentials,shampoo,""lock on bedroom door"",hangers,""laptop-friendly workspace""}"
2397,"{tv,wifi,kitchen,""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,bathtub,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""patio or balcony"",""garden or backyard"",""beach essentials"",""long term stays allowed""}"
2398,"{wifi,""free street parking"",""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,hangers,""self check-in"",keypad,""hot water"",""bed linens"",""extra pillows and blankets"",""single level home"",""luggage dropoff allowed"",""long term stays allowed""}"
2399,"{wifi,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private living room"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""single level home"",""long term stays allowed""}"
2400,"{wifi,doorman,""free street parking"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",""laptop-friendly workspace"",""self check-in"",""building staff"",""hot water"",""long term stays allowed"",""shower gel""}"
2401,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""pets allowed"",""hot tub"",""indoor fireplace"",heating,""family/kid friendly"",""suitable for events"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance""}"
2402,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",""laptop-friendly workspace"",""self check-in"",lockbox,""private entrance"",""hot water"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""luggage dropoff allowed""}"
2403,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",heating,""family/kid friendly"",""suitable for events"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",microwave,""coffee maker"",refrigerator,dishwasher,""cooking basics"",oven,stove,""single level home"",""trash can""}"
2404,"{tv,wifi,""air conditioning"",pool,kitchen,""free parking on premises"",breakfast,""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",""private entrance""}"
2405,"{tv,""cable tv"",wifi,""air conditioning"",""wheelchair accessible"",kitchen,""free parking on premises"",breakfast,heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace""}"
2406,"{tv,""cable tv"",""air conditioning"",pool,kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",""outlet covers"",""high chair"",""stair gates"",""children’s books and toys"",""table corner guards"",crib,""room-darkening shades"",""children’s dinnerware"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
2407,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""pets live on this property"",dog(s),""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,""garden or backyard"",other}"
2408,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed""}"
2409,"{wifi,""air conditioning"",""free street parking"",heating,washer,dryer,""smoke alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,iron,""laptop-friendly workspace"",bathtub,""hot water"",microwave,refrigerator,""host greets you""}"
2410,"{wifi,""air conditioning"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",other,""paid parking on premises""}"
2411,"{wifi,""air conditioning"",pool,""free parking on premises"",gym,elevator,""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""safety card"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",""laptop-friendly workspace"",""self check-in"",lockbox,""hot water"",""extra pillows and blankets"",microwave,refrigerator,""dishes and silverware"",oven,stove}"
2412,"{tv,wifi,pool,kitchen,""free parking on premises"",""hot tub"",heating,""smoke alarm"",""carbon monoxide alarm"",""safety card"",""fire extinguisher"",essentials,""lock on bedroom door"",hangers,""laptop-friendly workspace"",""private entrance"",""dishes and silverware""}"
2413,"{tv,wifi,pool,kitchen,""free parking on premises"",""smoking allowed"",""pets allowed"",""pets live on this property"",dog(s),cat(s),""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,hangers,iron,""laptop-friendly workspace"",""hot water"",""bed linens"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed""}"
2414,"{wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,""family/kid friendly"",""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",""private entrance"",""patio or balcony"",""garden or backyard"",""host greets you""}"
2415,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""hot tub"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard"",""long term stays allowed""}"
2416,"{tv,wifi,kitchen,""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private living room"",""private entrance"",""hot water"",""bed linens"",microwave,refrigerator,""dishes and silverware"",""trash can""}"
2417,"{wifi,""air conditioning"",pool,""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",""bed linens"",""extra pillows and blankets""}"
2418,"{tv,wifi,""air conditioning"",pool,""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",""patio or balcony"",""garden or backyard""}"
2419,"{tv,""cable tv"",wifi,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""patio or balcony"",""garden or backyard""}"
2420,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",breakfast,""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",bathtub,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed""}"
2421,"{wifi,""air conditioning"",kitchen,elevator,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",""high chair"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""long term stays allowed"",""cleaning before checkout"",""host greets you"",""paid parking on premises""}"
2422,"{tv,""cable tv"",wifi,""air conditioning"",pool,kitchen,""free parking on premises"",""free street parking"",""hot tub"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,hangers,""hair dryer"",iron,""private entrance"",""hot water"",""bed linens"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony""}"
2423,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free parking on premises"",breakfast,""pets live on this property"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""patio or balcony"",""garden or backyard"",""host greets you""}"
2424,"{wifi,""air conditioning"",kitchen,""free parking on premises"",""indoor fireplace"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",""laptop-friendly workspace"",""self check-in"",keypad}"
2425,"{wifi,""free parking on premises"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""single level home"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""cleaning before checkout"",other,""shower gel""}"
